Location,Latitude,Longitude
35 km al E de Base Frei,-62.236,-58.303
36 km al E de Base Frei,-62.229,-58.292
32 km al E de Base Frei,-62.209,-58.363
35 km al E de Base Frei,-62.22,-58.293
32 km al E de Base Frei,-62.228,-58.352
31 km al E de Base Frei,-62.238,-58.373
34 km al E de Base Frei,-62.226,-58.315
29 km al E de Base Frei,-62.215,-58.42
32 km al E de Base Frei,-62.208,-58.357
34 km al E de Base Frei,-62.227,-58.328
31 km al E de Base Frei,-62.306,-58.428
28 km al E de Base Frei,-62.268,-58.464
29 km al E de Base Frei,-62.295,-58.457
28 km al E de Base Frei,-62.235,-58.441
29 km al E de Base Frei,-62.172,-58.423
29 km al E de Base Frei,-62.226,-58.414
34 km al E de Base Frei,-62.267,-58.34
32 km al E de Base Frei,-62.31,-58.399
57 km al E de Base Frei,-62.014,-57.958
32 km al E de Base Frei,-62.217,-58.358
33 km al E de Base Frei,-62.261,-58.347
33 km al E de Base Frei,-62.287,-58.374
32 km al E de Base Frei,-62.243,-58.363
34 km al E de Base Frei,-62.222,-58.326
34 km al E de Base Frei,-62.291,-58.346
32 km al E de Base Frei,-62.245,-58.365
32 km al E de Base Frei,-62.237,-58.369
34 km al E de Base Frei,-62.261,-58.33
33 km al E de Base Frei,-62.238,-58.336
33 km al E de Base Frei,-62.313,-58.395
33 km al E de Base Frei,-62.238,-58.336
33 km al E de Base Frei,-62.313,-58.395
34 km al E de Base Frei,-62.211,-58.326
213 km al E de Base Frei,-61.162,-55.575
32 km al E de Base Frei,-62.313,-58.411
30 km al E de Base Frei,-62.265,-58.422
32 km al E de Base Frei,-62.256,-58.377
33 km al E de Base Frei,-62.304,-58.38
30 km al E de Base Frei,-62.295,-58.443
32 km al E de Base Frei,-62.275,-58.383
32 km al E de Base Frei,-62.279,-58.392
32 km al E de Base Frei,-62.275,-58.38
32 km al E de Base Frei,-62.282,-58.392
30 km al E de Base Frei,-62.295,-58.434
30 km al E de Base Frei,-62.295,-58.429
30 km al E de Base Frei,-62.298,-58.427
30 km al E de Base Frei,-62.284,-58.421
34 km al E de Base Frei,-62.314,-58.366
200 km al E de Base Frei,-61.792,-55.235
209 km al E de Base Frei,-61.587,-55.197
31 km al E de Base Frei,-62.245,-58.393
32 km al E de Base Frei,-62.198,-58.35
34 km al E de Base Frei,-62.332,-58.381
34 km al E de Base Frei,-62.09,-58.35
42 km al E de Base Frei,-62.234,-58.174
31 km al S de Base Frei,-62.469,-58.873
34 km al SE de Base Frei,-62.442,-58.6
47 km al E de Base Frei,-62.282,-58.081
37 km al SE de Base Frei,-62.422,-58.44
37 km al E de Base Frei,-62.405,-58.408
21 km al NE de Base Frei,-62.009,-58.87
48 km al E de Base Frei,-62.162,-58.052
31 km al E de Base Frei,-62.352,-58.482
328 km al NO de Base Frei,-59.316,-60.281
78 km al E de Base Frei,-61.77,-57.78
2433 km al E de Base Frei,-58.357,-14.607
1724 km al E de Base Frei,-60.182,-26.728
1747 km al E de Base Frei,-59.972,-26.457
2032 km al E de Base Frei,-60.789,-20.208
1743 km al E de Base Frei,-60.335,-26.231
1721 km al E de Base Frei,-60.769,-26.338
2795 km al E de Base Frei,-58.217,-7.615
1866 km al E de Base Frei,-55.245,-29.142
1955 km al E de Base Frei,-57.352,-24.926
1850 km al E de Base Frei,-55.305,-29.382
2143 km al E de Base Frei,-55.419,-23.533
1318 km al E de Base Frei,-60.915,-34.069
1746 km al E de Base Frei,-59.723,-26.682
2063 km al E de Base Frei,-55.584,-24.871
1316 km al E de Base Frei,-60.844,-34.166
1319 km al E de Base Frei,-60.913,-34.057
1299 km al E de Base Frei,-61.029,-34.365
1784 km al E de Base Frei,-60.554,-25.271
1193 km al E de Base Frei,-60.942,-36.471
2136 km al E de Base Frei,-61.106,-17.895
1776 km al E de Base Frei,-59.652,-26.157
1599 km al E de Base Frei,-59.542,-29.66
3120 km al E de Base Frei,-55.695,-4.232
1995 km al E de Base Frei,-60.034,-21.575
1844 km al E de Base Frei,-59.431,-25.028
1775 km al E de Base Frei,-60.726,-25.319
1943 km al E de Base Frei,-55.698,-27.063
1740 km al E de Base Frei,-59.36,-27.104
1785 km al E de Base Frei,-59.768,-25.886
2287 km al E de Base Frei,-59.014,-16.784
207 km al SO de Base Frei,-63.462,-61.957
1910 km al E de Base Frei,-56.24,-27.042
1864 km al E de Base Frei,-58.758,-25.264
3265 km al E de Base Frei,-55.566,-1.535
1827 km al E de Base Frei,-58.468,-26.241
1985 km al E de Base Frei,-55.451,-26.55
1716 km al E de Base Frei,-59.849,-27.149
1936 km al E de Base Frei,-55.204,-27.823
1683 km al E de Base Frei,-59.716,-27.898
1850 km al E de Base Frei,-55.519,-29.1
459 km al E de Base Frei,-60.629,-50.977
459 km al E de Base Frei,-60.698,-50.922
1904 km al E de Base Frei,-56.495,-26.861
1863 km al E de Base Frei,-58.674,-25.359
1903 km al E de Base Frei,-57.929,-25.329
1876 km al E de Base Frei,-55.325,-28.844
1899 km al E de Base Frei,-55.699,-27.913
2421 km al E de Base Frei,-58.433,-14.751
